state,perc
Alaska,52.3
Alabama,45.6
Arkansas,48.9
Arizona,54.2
California,63.3
Colorado,63.3
Connecticut,71.0
Delaware,60.7
Florida,59.1
Georgia,49.2
Hawaii,60.8
Iowa,55.8
Idaho,43.2
Illinois,61.5
Indiana,49.4
Kansas,54.5
Kentucky,51.2
Louisiana,47.9
Massachusetts,71.8
Maryland,67.8
Maine,69.9
Michigan,54.5
Minnesota,62.9
Missouri,50.6
Mississippi,46.7
Montana,50.6
North Carolina,53.5
North Dakota,49.6
Nebraska,57.5
New Hampshire,62.5
New Jersey,67.2
New Mexico,63.3
Nevada,52.7
New York,67.9
Ohio,52.7
Oklahoma,51.2
Oregon,62.9
Pennsylvania,59.3
Rhode Island,74.1
South Carolina,50.6
South Dakota,54.3
Tennessee,49.3
Texas,54.1
Utah,55.6
Virginia,65.2
Vermont,74.0
Washington,64.2
Wisconsin,59.3
West Virginia,52.8
Wyoming,44.4
